"","id","nom","inscrits","abst","blancs","joly","lepen","sarkozy","melenchon","poutou","arthaud","cheminade","bayrou","dupont.aignan","hollande"
"122","0510","ECOLE LES GEMEAUX",1143,19.77,1.09,3.75,10.92,38.26,10.03,0.99,0.44,0,11.47,1.54,22.6
"123","0511","GYMNASE CHARCOT",1130,19.73,2.21,2.71,11.16,35.96,7.78,1.01,0.79,0.56,13.08,1.47,25.48
"124","0512","GYMNASE CHARCOT",1070,18.79,1.61,3.16,10.18,33.8,8.19,0.58,0.35,0.47,12.4,1.52,29.36
"125","0513","ECOLE FERDINAND BUISSON",989,18.3,1.11,3,7.76,40.3,9.01,0.38,0.13,0.13,12.64,1,25.66
"126","0514","ECOLE FERDINAND BUISSON",1068,16.76,2.47,3.81,11.76,29.87,7.84,0.35,0.46,0.46,14.42,2.77,28.26
"127","0515","ECOLE FERDINAND BUISSON",1060,16.42,1.24,2.63,8.91,35.43,9.49,0.69,0.57,0,13.49,1.03,27.77
"128","0516","ECOLE FERDINAND BUISSON",1100,17.91,0.89,7.04,6.37,27.49,12.51,0.78,0.67,0,10.95,1.45,32.74
"129","0517","ECOLE CHAMPVERT OUEST",864,23.15,0.6,2.42,15.45,27.58,11.21,0.45,0.45,0.45,6.21,1.06,34.7
"130","0518","ECOLE CHAMPVERT OUEST",917,21.81,1.26,1.69,23.45,22.46,11.58,1.84,1.13,0.28,6.78,1.69,29.1
"131","0519","ECOLE CHAMPVERT OUEST",1009,16.95,0.48,3.36,10.55,40.29,6.47,0.12,0.6,0.72,15.95,1.44,20.5
"132","0520","ECOLE DIDEROT",900,22.33,1.14,2.32,11.14,27.35,12.3,0.58,0.43,0.29,7.24,3.76,34.59
"133","0521","ECOLE DIDEROT",927,28.59,2.27,1.24,14.37,16.07,17,1.85,0.46,0.31,8.04,1.24,39.41
"134","0522","ECOLE DIDEROT",1043,19.37,1.43,3.98,12.42,31.6,8.08,0.72,0.12,0.36,13.51,3.02,26.18
"135","0523","ECOLE DIDEROT",1044,17.24,1.39,2,13.62,32.75,8.92,0.94,0.35,0.35,12.91,2,26.17
"136","0524","ECOLE ALBERT CAMUS",866,16.4,1.38,5.04,5.18,29.55,10.36,1.26,0.42,0,11.2,1.54,35.43
"137","0525","ECOLE ALBERT CAMUS",980,21.12,0.91,3,10.57,27.28,13.19,1.04,0.52,0.26,12.4,1.17,30.55
"138","0526","ECOLE FULCHIRON",1023,18.28,1.44,8.01,4.37,25.12,14.32,0.73,0.61,0,10.44,0.85,35.56
"139","0527","ECOLE FULCHIRON",999,21.02,0.76,3.32,8.3,38.44,7.92,1.02,0.26,0.38,13.03,1.15,26.18
"140","0528","MJC DU VIEUX LYON",1024,19.34,0.73,6.95,5.85,30.12,13.78,0.85,0.61,0,14.63,0.85,26.34
"141","0529","MAIRIE ANNEXE",1004,20.82,1.13,5.6,4.96,29.64,16.16,0.89,0.25,0.25,9.54,1.27,31.42
"142","0530","ECOLE GERSON",844,18.6,1.02,9.26,6.03,24.85,18.68,1.91,0,0.15,7.06,1.18,30.88
"143","0531","ECOLE GERSON",809,20.27,0.62,4.84,4.99,32.45,13.88,0.31,0.16,0.62,11.86,0.16,30.73
"144","0601","MAIRIE DU 6EME",758,22.82,1.2,1.9,11.76,38.75,9.17,0.52,0.52,0.52,8.65,0.69,27.51
"145","0602","MAIRIE DU 6EME",888,17.45,1.77,2.64,10.69,43.33,5.69,0.97,0.28,0.42,9.44,1.39,25.14
"146","0603","MAIRIE DU 6EME",1050,18.76,1.41,3.21,7.25,45.9,8.09,0.36,0.12,0.24,12.13,0.83,21.88
"147","0604","GYMNASE VIRICEL",916,22.71,1.27,3.15,7.44,33.19,13.02,1.43,0.43,0.86,12.3,1.86,26.32
"148","0605","GYMNASE VIRICEL",1067,21.09,0.59,4.42,9.68,31.42,9.56,0.6,0.48,0.12,13.14,1.19,29.39
"149","0606","GYMNASE VIRICEL",913,20.15,2.33,3.37,9.83,35.67,8.43,0.56,0.14,0,13.2,1.26,27.53
"150","0607","ECOLE FERRY",706,18.84,1.75,3.02,5.86,43.16,7.28,0.36,0.36,0.53,15.1,1.42,22.91
"151","0608","ECOLE FERRY",683,16.69,0.35,2.82,7.76,43.39,8.99,0.53,0.18,0.18,10.41,1.41,24.34
"152","0609","ECOLE FERRY",884,18.55,0.83,1.82,11.2,38.38,7.98,0.98,0.56,0.28,14.71,1.26,22.83
"153","0610","ECOLE ANTOINE REMOND",1201,19.07,0.93,4.26,6.96,36.24,8,0.42,0.31,0.31,13.19,1.87,28.45
